total phrases,total turns,interviewer goal,goal mismatch,no phrases,unmatched phrase,multi-turn goal,unique phrases,from interviewer,from stakeholder,stakeholder goal
9,104,0,,,,,9,0,9,8
16,104,0,,,,,16,0,16,11
11,104,0,,,,,11,0,11,6
7,104,0,,,,,7,0,7,7
6,104,0,,,,,6,0,6,5
2,104,0,,,,,2,0,2,1
4,104,0,,,,,4,0,4,2
1,104,0,,,,,1,0,1,1
6,104,1,,,,1,6,1,5,3
2,104,0,,,,,2,0,2,1
,104,,,,,,,,,
2,104,0,,,,,2,0,2,1
4,104,0,,,,,4,0,4,2
1,104,0,,,,,1,0,1,1
3,104,0,,,,1,3,1,2,1
1,104,0,,,,,1,0,1,1
5,104,2,,,,1,4,2,4,2
6,104,0,,,,,6,0,6,4
2,104,0,,,,,2,0,2,1
3,104,0,,,,,3,0,3,2
9,104,3,,,,1,8,8,2,1
,104,,,,,,,,,
5,104,0,,,,,5,0,5,4
1,104,0,,,,,1,0,1,1
,104,,,,,,,,,
,104,,,,,,,,,
,104,,,,,,,,,
,104,0,1,1,,,,,,0
2,104,0,,,,,2,0,2,2
2,104,0,,,,,2,0,2,2
3,104,1,,,,,3,2,1,1
,104,,,,,,,,,
,104,,,,,,,,,
,104,,,,,,,,,
,104,,,,,,,,,
,104,,,,,,,,,
6,104,0,,,,2,6,2,4,3
5,104,0,,,,1,5,1,4,3
2,104,0,,,,,2,0,2,2
1,104,0,,,,,1,0,1,1
8,104,0,,,,,8,0,8,5
1,104,0,,,,,1,0,1,1
2,104,0,,,,,2,0,2,1
2,104,0,,,,,2,0,2,1
,104,,,,,,,,,
,104,,,,,,,,,
3,70,0,,,,,3,0,3,1
4,70,0,,,,1,4,2,2,1
6,70,0,,,,,6,0,6,5
4,70,0,,,1,,3,0,3,2
2,70,0,,,,1,2,1,1,1
2,70,0,,,,,2,0,2,1
6,70,0,,,,,6,0,6,4
7,70,0,,,,,6,0,8,3
1,70,0,,,1,,,0,0,0
5,70,0,,,1,,4,1,3,2
,70,,,,,,,,,
2,70,0,,,,,2,0,2,1
,70,,,,,,,,,
1,70,0,,,,,1,0,1,1
10,70,0,,,,,10,0,10,8
2,70,0,,,,,2,0,2,1
2,70,1,,,,1,2,1,1,0
5,70,0,,,,,5,0,5,3
7,70,0,,,,,7,0,7,4
3,70,1,,,,1,3,1,2,0
1,70,0,,,,,1,0,1,1
2,70,1,,,,1,2,1,1,0
2,70,0,,,,,2,0,2,2
5,70,0,,,,,5,0,5,4
4,70,0,,,,,4,0,4,2
6,70,1,,,,1,6,1,5,2
