total phrases,total turns,interviewer goal,goal mismatch,no phrases,unmatched phrase,multi-turn goal,unique phrases,from interviewer,from stakeholder,stakeholder goal
10,77,0,,,,1,10,1,9,6
12,77,0,,,,,12,0,12,9
2,77,0,,,,,2,0,2,1
9,77,0,,,,,9,0,9,6
6,77,0,,,,1,6,1,5,5
6,77,0,,,,,6,0,6,5
9,77,0,,,,,9,0,9,6
14,77,0,,,,,14,0,14,6
11,77,0,,,,,11,0,11,9
2,77,0,,,,,2,0,2,1
12,77,1,,,,1,12,1,11,5
2,77,0,,,,,2,0,2,1
6,77,0,,,,,6,0,6,6
11,77,0,,,,,11,0,11,6
15,77,0,,,1,,14,0,14,9
9,77,0,,,,,9,0,9,4
6,77,0,,,,,6,0,6,4
4,77,0,,,,,4,0,4,2
5,77,0,,,,,5,0,5,4
6,77,0,,,,,6,0,6,5
3,77,0,,,,,3,0,3,3
10,77,0,,,,,10,0,10,10
18,77,0,,,,,18,0,18,12
4,77,0,,,,,4,0,4,1
6,77,0,,,,,6,0,6,3
8,77,0,,,,,8,0,8,6
13,77,0,,,,,13,0,13,10
7,77,0,,,,,7,0,7,4
,77,,,,,,,,,
,77,,,,,,,,,
1,77,0,,,,,1,0,1,1
9,77,0,,,,,9,0,9,8
9,77,0,,,,,9,0,9,5
14,77,0,,,,,14,0,14,8
10,77,0,,,,,10,0,10,6
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
2,77,0,,,,,2,0,2,1
14,77,0,,,,,14,0,14,11
1,77,0,,,,,1,0,1,1
2,77,0,,,,,2,0,2,1
12,77,1,,,1,,11,2,9,5
,77,,,,,,,,,
5,77,0,,,,,5,0,5,3
19,77,0,,,,,19,0,19,11
16,77,0,,,1,,15,0,15,10
12,77,0,,,1,,10,0,12,9
2,77,0,,,,,2,0,2,1
10,77,0,,,,,10,0,10,6
9,77,0,,,1,,8,0,8,4
2,77,0,,,,,2,0,2,1
3,77,1,,,,1,3,1,2,0
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
,77,,,,,,,,,
13,77,1,,,,1,13,1,12,4
14,77,2,,,3,2,11,2,9,1
2,77,0,,,,,2,0,2,1
21,77,2,,,,1,20,4,18,8
19,77,4,,,,,19,7,12,8
2,77,0,,,,1,2,1,1,1
4,77,0,,,,,4,0,4,1
,77,,,,,,,,,
,77,,,,,,,,,
4,77,1,,,1,,3,3,0,0
,77,,,,,,,,,
,77,,,,,,,,,
1,77,0,,,,,1,0,1,1
1,77,0,,,,,1,0,1,1
2,33,0,,,,,2,0,2,2
4,33,0,,,,,4,0,4,3
1,33,0,,,,,1,0,1,1
12,33,0,,,,,12,0,12,8
8,33,0,,,,,8,0,8,7
4,33,0,,,,,4,0,4,2
2,33,0,,,,,2,0,2,2
2,33,0,,,,,2,0,2,1
2,33,0,,,,,2,0,2,1
13,33,0,,,,1,13,1,12,6
11,33,0,,,,,11,0,11,4
5,33,0,,,,,5,0,5,3
1,33,0,,,,,1,0,1,1
10,33,0,,,,,10,0,10,5
10,33,0,,,1,,9,0,9,3
3,33,0,,,2,,1,0,1,0
3,33,3,,,,,3,3,0,0
9,46,0,,,,,9,0,9,6
15,46,0,,,,,15,0,15,6
13,46,0,,,,,13,0,13,10
13,46,0,,,,,13,0,13,10
7,46,0,,,,,7,0,7,5
8,46,0,,,,,8,0,8,4
9,46,0,,,,,9,0,9,7
10,46,0,,,,,10,0,10,7
3,46,0,,,2,,1,0,1,0
9,46,0,,,3,,6,0,6,4
8,46,0,,,,,8,0,8,7
17,46,0,,,,,17,0,17,9
12,46,0,,,,,12,0,12,6
15,46,0,,,2,1,13,1,12,5
3,46,0,,,,,3,0,3,1
14,46,0,,,,,14,0,14,9
17,46,0,,,,,17,0,17,10
9,46,0,,,,,9,0,9,6
2,46,0,,,,,2,0,2,1
3,46,0,,,,,3,0,3,2
7,46,0,,,,,7,0,7,5
5,46,0,,,,,5,0,5,4
,46,,,,,,,,,
3,36,0,,,,1,3,1,2,1
7,36,0,,,,,7,0,7,5
11,36,0,,,1,,10,0,10,4
12,36,0,,,,,12,0,12,6
10,36,0,,,,,10,0,10,7
11,36,0,,,,,11,0,11,7
3,36,0,,,,,3,0,3,1
15,36,0,,,,,15,0,15,9
3,36,0,,,,,3,0,3,1
4,36,0,,,,,4,0,4,1
9,36,0,,,,,9,0,9,4
2,36,0,,,,,2,0,2,1
4,36,1,,,,1,4,1,3,1
7,36,0,,,,,7,0,7,3
3,36,0,,,,,3,0,3,1
6,36,1,,,,1,6,1,5,3
1,36,0,,,,,1,0,1,1
,36,,,,,,,,,
7,19,0,,,,,7,0,7,3
3,19,0,,,,,3,0,3,1
13,19,0,,,,,13,0,13,8
18,19,0,,,,,18,0,18,9
11,19,0,,,,,11,0,11,6
12,19,0,,,,,12,0,12,5
6,19,0,,,,,6,0,6,2
9,19,0,,,,,9,0,9,5
5,19,0,,,,,5,0,5,3
,19,,,,,,,,,
2,67,1,,,,1,2,1,1,0
6,67,0,,,,,6,0,6,4
10,67,0,,,1,,9,0,9,6
4,67,0,,,,1,4,1,3,3
2,67,0,,,,1,2,1,1,1
,67,,,,,,,,,
8,67,0,,,,,8,0,8,8
3,67,0,,,,,3,0,3,1
6,67,0,,,,,6,0,6,5
11,67,0,,,,,11,0,11,9
14,67,0,,,3,,11,0,11,5
14,67,0,,,,,14,0,14,9
3,67,0,,,,,3,0,3,2
4,67,0,,,,1,4,3,1,1
3,67,0,,,,1,3,2,1,1
8,67,0,,,,,8,0,8,7
13,67,0,,,,,13,0,13,9
2,67,0,,,,,2,0,2,1
3,67,0,,,,,3,0,3,2
7,67,0,,,,,7,0,7,5
3,67,0,,,,,3,0,3,1
19,67,0,,,,,19,0,19,11
7,67,0,,,,,7,0,7,5
,67,,,,,,,,,
2,67,1,,,,,2,2,0,0
6,67,1,,,,,5,1,6,3
2,67,0,,,,1,2,1,1,1
6,67,0,,,,,6,0,6,5
6,67,0,,,,,6,0,6,5
10,67,0,,,,,10,0,10,9
7,67,0,,,,,7,0,7,6
,67,,,,,,,,,
,67,,,,,,,,,
,67,,,,,,,,,
3,60,0,,,,,3,0,3,3
3,60,1,,,,1,3,1,2,1
3,60,1,,,,,3,1,2,1
7,60,0,,,,,7,0,7,7
1,60,0,,,,,1,0,1,1
9,60,0,,,,,9,0,9,7
,60,,,,,,,,,
8,60,0,,,,,8,0,8,5
14,60,0,,,,,14,0,14,9
13,60,0,,,,,13,0,13,9
11,60,0,,,,,11,0,11,10
16,60,0,,,,,16,0,16,12
16,60,0,,,,,16,0,16,9
13,60,0,,,,,13,0,13,9
2,60,0,,,,,2,0,2,1
11,60,0,,,,,11,0,11,8
6,60,0,,,,,6,0,6,5
10,60,0,,,,,10,0,10,10
22,60,0,,,2,1,20,2,18,14
3,60,0,,,,,3,0,3,1
19,60,0,,,3,,16,0,16,12
1,60,0,,,,,1,0,1,1
20,60,0,,,,,20,0,20,10
14,60,0,,,,,14,0,14,11
8,60,0,,,,,8,0,8,2
5,60,0,,,,,5,0,5,4
5,60,0,,,,,5,0,5,4
,60,,,,,,,,,
,60,,,,,,,,,
,60,,,,,,,,,
,163,,,,,,,,,
,163,,,,,,,,,
3,163,1,,,,,3,1,2,2
8,163,0,,,,1,8,1,7,5
5,163,0,,,,,5,0,5,4
2,163,0,,,,,2,0,2,1
4,163,0,,,,,4,0,4,3
10,163,0,,,,,10,0,10,7
13,163,0,,,,,13,0,13,8
4,163,0,,,1,,3,0,3,2
3,163,0,,,,,3,0,3,2
3,163,0,,,,,3,0,3,3
4,163,0,,,,,4,0,4,4
5,163,0,,,,,5,0,5,4
32,163,0,,,1,,31,0,31,18
14,163,0,,,1,,13,0,13,8
10,163,0,,,,1,10,1,9,5
1,163,0,,,,,1,0,1,1
5,163,2,,,,1,5,2,3,2
1,163,0,,,,,1,0,1,1
7,163,0,,,,,7,0,7,5
12,163,0,,,,,12,0,12,7
8,163,0,,,,,8,0,8,6
5,163,0,,,,,5,0,5,4
2,163,0,,,,1,2,1,1,1
8,163,0,,,,,8,0,8,6
11,163,0,,,,,11,0,11,6
12,163,0,,,,,12,0,12,5
9,163,0,,,,1,9,1,8,6
9,163,0,,,,1,9,1,8,7
6,163,0,,,,,6,0,6,4
11,163,0,,,,,11,0,11,6
34,163,0,,,,,34,0,34,21
10,163,0,,,,,10,0,10,6
9,163,0,,,2,,7,0,7,4
7,163,0,,,1,1,6,1,5,3
18,163,0,,,1,,17,0,17,11
11,163,0,,,,,11,0,11,6
1,163,0,,,,,1,0,1,1
6,163,1,,,,1,6,1,5,2
7,163,0,,,3,,4,0,4,4
9,163,0,,,4,,5,0,5,3
8,163,0,,,,,8,0,8,5
11,163,0,,,,,11,0,11,7
10,163,0,,,,1,10,1,9,6
4,163,0,,,,,4,0,4,2
7,163,0,,,,,7,0,7,5
12,163,0,,,,,12,0,12,7
8,163,0,,,,,8,0,8,4
15,163,0,,,,,15,0,15,10
16,163,0,,,,,16,0,16,12
11,163,0,,,,,11,0,11,8
8,163,0,,,,,8,0,8,4
2,163,0,,,,,2,0,2,1
8,163,0,,,,,8,0,8,3
4,163,0,,,,,4,0,4,2
4,163,0,,,,,4,0,4,3
5,163,0,,,,,5,0,5,5
5,163,0,,,,,5,0,5,4
1,163,0,,,,,1,0,1,1
7,163,0,,,,,7,0,7,4
7,163,0,,,,,7,0,7,6
12,163,0,,,,,12,0,12,8
10,163,0,,,,,10,0,10,10
12,163,0,,,,,12,0,12,10
1,163,0,,,,,1,0,1,1
6,163,0,,,,,6,0,6,3
2,163,0,,,,,2,0,2,1
5,163,0,,,,,5,0,5,4
,163,,,,,,,,,
4,163,0,,,,,4,0,4,3
2,163,0,,,,,2,0,2,1
1,163,0,,,,,1,0,1,1
3,163,0,,,,,3,0,3,3
4,163,0,,,,,4,0,4,4
2,163,0,,,1,,1,0,1,1
2,163,0,,,,1,2,1,1,1
4,163,0,,,1,1,3,1,2,2
,163,,,,,,,,,
,163,,,,,,,,,
,163,,,,,,,,,
,163,,,,,,,,,
,142,,,,,,,,,
,142,,,,,,,,,
,142,,,,,,,,,
2,142,0,,,,1,2,1,1,1
3,142,0,,,,1,2,2,2,1
,142,,,,,,,,,
1,142,0,,,,,1,0,1,1
3,142,0,,,,,3,0,3,2
2,142,0,,,,1,2,1,1,1
2,142,1,,,,1,2,1,1,0
,142,,,,,,,,,
,142,,,,,,,,,
1,142,0,,,,,1,0,1,1
4,142,1,,,,1,4,1,3,2
8,142,0,,,,,8,0,8,7
1,142,0,,,,,1,0,1,1
2,142,0,,,,,2,0,2,2
7,142,0,,,,,7,0,7,3
14,142,0,,,,,14,0,14,9
10,142,0,,,,,10,0,10,7
2,142,0,,,,,2,0,2,2
3,142,0,,,,,3,0,3,2
6,142,0,,,,,6,0,6,3
11,142,0,,,,,11,0,11,7
8,142,0,,,,,8,0,8,5
,142,,,,,,,,,
5,142,0,,,,1,5,1,4,2
2,142,0,,,,,2,0,2,1
10,142,1,,,,1,10,3,7,5
1,142,0,,,,,1,0,1,1
10,142,0,,,,,10,0,10,5
6,142,0,,,,,6,0,6,4
,142,,,,,,,,,
,142,,,,,,,,,
,142,,,,,,,,,
2,142,1,,,,,2,2,0,0
2,142,1,,,,,2,2,0,0
,142,,,,,,,,,
2,142,0,,,,,2,0,2,2
6,142,5,,,,,6,6,0,0
11,142,4,,,1,,10,10,0,0
6,142,5,,,,,6,6,0,0
4,142,3,,,,,4,4,0,0
4,142,4,,,,,4,4,0,0
7,142,3,,,,,7,7,0,0
3,142,1,,,,,3,3,0,0
7,142,4,,,,,7,7,0,0
9,142,5,,,,,9,8,1,1
13,142,8,,,,,13,13,0,0
15,142,7,,,1,,14,14,0,0
1,142,0,,,,,1,0,1,1
6,142,2,,,,1,6,5,1,1
5,142,0,,,,2,5,3,2,2
5,142,3,,,,,5,5,0,0
7,142,4,,,,,7,7,0,0
2,142,1,,,,,2,2,0,0
12,142,7,,,,,12,12,0,0
11,142,9,,,,,11,11,0,0
1,142,0,,,1,,,0,0,0
6,142,3,,,1,,5,5,0,0
,142,,,,,,,,,
,142,,,,,,,,,
2,142,1,,,,,2,2,0,0
4,142,1,,,,,4,4,0,0
,142,,,,,,,,,
2,142,0,,,,,2,0,2,2
3,142,1,,,,,3,1,2,2
1,142,1,,,,,1,1,0,0
1,142,1,,,,,1,1,0,0
,142,,,,,,,,,
,142,,,,,,,,,
,50,,,,,,,,,
2,50,0,,,,,2,0,2,2
8,50,0,,,,,7,0,10,4
4,50,0,,,,,4,0,4,3
1,50,0,,,,,1,0,1,1
14,50,0,,,,,14,0,14,12
16,50,0,,,,,16,0,16,15
12,50,0,,,,,12,0,12,9
10,50,0,,,1,,9,0,9,8
1,50,0,,,,,1,0,1,1
5,50,3,,,,1,5,3,2,0
19,50,1,,,,3,19,3,16,11
23,50,0,,,,,23,0,23,17
15,50,0,,,2,,13,0,13,8
8,50,0,,,2,,6,0,6,4
15,50,0,,,1,,14,0,14,10
8,50,0,,,,,8,0,8,5
4,50,0,,,,,4,0,4,2
11,50,0,,,,,11,0,11,10
6,50,0,,,,,6,0,6,4
6,50,0,,,,,6,0,6,4
,50,,,,,,,,,
,50,,,,,,,,,
,50,,,,,,,,,
,50,,,,,,,,,
,116,,,,,,,,,
,116,,,,,,,,,
2,116,0,,,,1,2,1,1,1
,116,,,,,,,,,
1,116,0,,,,,1,0,1,1
4,116,0,,,,,4,0,4,3
3,116,0,,,,,3,0,3,2
,116,0,1,1,,,,,,0
,116,,,,,,,,,
,116,,,,,,,,,
,116,,,,,,,,,
,116,,,,,,,,,
6,116,0,,,,,6,0,6,5
7,116,0,,,,,7,0,7,5
3,116,0,,,,,3,0,3,2
11,116,0,,,,1,11,1,10,7
8,116,0,,,,,8,0,8,8
4,116,0,,,,,4,0,4,3
2,116,0,1,,1,,1,0,1,1
1,116,0,,,,,1,0,1,1
2,116,0,,,,,2,0,2,1
,116,,,,,,,,,
5,116,0,,,,,5,0,5,4
6,116,0,,,,,6,0,6,4
2,116,0,,,,1,2,1,1,1
,116,,,,,,,,,
6,116,0,,,,,6,0,6,6
8,116,1,,,,1,8,1,7,6
2,116,0,,,,1,2,1,1,1
,116,,,,,,,,,
,116,,,,,,,,,
4,116,0,,,,,4,0,4,2
7,116,0,,,1,,6,0,6,3
1,116,0,,,,,1,0,1,1
,116,,,,,,,,,
,116,,,,,,,,,
,116,,,,,,,,,
,116,,,,,,,,,
6,116,0,,,,,6,0,6,4
15,116,0,,,,,15,0,15,10
8,116,0,,,,,8,0,8,6
1,116,0,,,,,1,0,1,1
3,116,0,,,,,3,0,3,2
4,116,0,,,,,4,0,4,3
,116,,,,,,,,,
2,116,0,,,,,2,0,2,1
4,116,0,,,,,4,0,4,2
2,116,0,,,,1,2,1,1,1
4,116,0,,,,,4,0,4,3
3,116,0,,,,,3,0,3,2
,116,,,,,,,,,
3,116,0,,,,,3,0,3,2
3,116,0,,,,,3,0,3,2
3,116,0,,,,,3,0,3,3
3,116,0,,,,,3,0,3,3
2,116,0,,,,,2,0,2,2
4,116,0,,,,1,4,1,3,2
1,116,1,,,,,1,1,0,0
8,75,0,,,,,7,0,9,6
7,75,0,,,,,7,0,7,5
7,75,0,,,,,7,0,7,4
3,75,0,,,,1,3,1,2,2
6,75,0,,,,,6,0,6,4
9,75,0,,,,,9,0,9,3
9,75,0,,,,,9,0,9,8
20,75,0,,,,,20,0,20,10
14,75,0,,,1,,13,0,13,7
3,75,0,,,,,3,0,3,1
,75,,,,,,,,,
4,75,0,,,,1,4,1,3,2
4,75,0,,,,1,4,1,3,3
1,75,0,,,,,1,0,1,1
1,75,0,,,,,1,0,1,1
13,75,0,,,2,,11,0,11,10
8,75,0,,,,,8,0,8,6
7,75,0,,,,,7,0,7,4
2,75,0,,,,,2,0,2,1
6,75,0,,,1,1,5,1,4,3
10,75,0,,,3,,7,0,7,3
6,75,0,,,,,6,0,6,3
5,75,0,,,,,5,0,5,3
4,75,0,,,,,4,0,4,3
4,75,0,,,,,4,0,4,2
4,75,0,,,,,4,0,4,2
4,75,0,,,,,4,0,4,2
5,75,0,,,,,5,0,5,2
5,75,0,,,,,5,0,5,3
11,75,0,,,,,11,0,11,4
4,75,0,,,,,4,0,4,2
,75,,,,,,,,,
7,75,0,,,1,,6,0,6,3
10,75,0,,,1,,9,0,9,5
7,75,0,,,,,7,0,7,4
2,75,0,,,,,2,0,2,1
,75,,,,,,,,,
,75,,,,,,,,,
,118,,,,,,,,,
,118,,,,,,,,,
3,118,0,,,,,3,0,3,3
10,118,0,,,,,10,0,10,6
11,118,0,,,1,,10,0,10,3
5,118,0,,,,,5,0,5,4
2,118,0,,,,,2,0,2,1
12,118,0,,,5,,7,0,7,3
,118,,,,,,,,,
9,118,0,,,,,9,0,9,3
5,118,0,,,1,,4,0,4,1
2,118,0,,,,,2,0,2,1
8,118,0,,,1,1,7,1,6,3
5,118,0,,,,,5,0,5,3
9,118,0,,,,,9,0,9,5
14,118,0,,,,,14,0,14,9
16,118,0,,,,,15,0,17,12
9,118,0,,,,,9,0,9,8
1,118,0,,,,,1,0,1,1
8,118,0,,,,,7,0,9,5
6,118,0,,,1,,5,0,5,3
,118,,,,,,,,,
,118,,,,,,,,,
,118,,,,,,,,,
23,118,0,,,,,23,0,23,14
21,118,0,,,,,21,0,21,13
14,118,0,,,,,14,0,14,8
16,118,0,,,,1,16,1,15,9
,118,,,,,,,,,
9,118,1,,,1,1,8,1,7,4
2,118,0,,,,,2,0,2,1
16,118,1,,,,2,16,2,14,9
12,118,0,,,,,12,0,12,7
21,118,0,,,,,21,0,21,14
17,118,0,,,,,17,0,17,8
,118,,,,,,,,,
10,118,0,,,,,10,0,10,6
9,118,0,,,,,9,0,9,6
,118,,,,,,,,,
17,118,0,,,,,17,0,17,11
19,118,0,,,,,19,0,19,16
,118,,,,,,,,,
17,118,0,,,,,17,0,17,14
19,118,0,,,1,,18,0,18,12
11,118,0,,,,,11,0,11,10
1,118,0,,,,,1,0,1,1
5,118,0,,,,,5,0,5,5
8,118,0,,,,,8,0,8,7
7,118,0,,,,,7,0,7,6
,118,,,,,,,,,
7,118,0,,,,,7,0,7,4
4,118,0,,,,,4,0,4,3
,118,0,1,1,,,,,,0
10,118,0,,,,,10,0,10,7
9,118,0,,,,,9,0,9,6
3,118,0,,,,,3,0,3,3
4,118,0,,,,,4,0,4,4
,118,,,,,,,,,
,118,,,,,,,,,
8,27,0,,,,,8,0,8,7
22,27,0,,,,,22,0,22,17
24,27,0,,,1,,23,0,23,12
13,27,0,,,,,13,0,13,5
15,27,0,,,,,15,0,15,10
19,27,0,,,,,19,0,19,11
11,27,0,,,,,11,0,11,8
11,27,0,,,,,11,0,11,5
20,27,0,,,,,20,0,20,12
16,27,0,,,,,16,0,16,12
6,27,0,,,,,6,0,6,6
2,27,0,,,,,2,0,2,2
,27,,,,,,,,,
,27,,,,,,,,,
